Year,College Code,Branch Code,Caste,Mark
2018,1,CM,BC,198.0
2018,1,CM,BCM,197.5
2018,1,CM,MBC,196.75
2018,1,CM,SC,188.25
2018,1,CM,SCA,183.5
2018,1,CM,ST,182.25
2018,1,CS,OC,199.5
2018,1,CS,BC,199.25
2018,1,CS,BCM,198.75
2018,1,CS,MBC,198.25
2018,1,CS,SC,195.5
2018,1,CS,SCA,195.25
2018,1,CS,ST,190.75
2018,1,EC,OC,199.33
2018,1,EC,BC,198.75
2018,1,EC,BCM,198.25
2018,1,EC,MBC,198.5
2018,1,EC,SC,195.75
2018,1,EC,SCA,193.25
2018,1,EC,ST,187.25
2018,1,EE,OC,198.25
2018,1,EE,BC,197.5
2018,1,EE,BCM,196.75
2018,1,EE,MBC,197.25
2018,1,EE,SC,194.75
2018,1,EE,SCA,191.25
2018,1,EE,ST,173.75
2018,1,EM,OC,198.25
2018,1,EM,BC,197.75
2018,1,EM,BCM,195.25
2018,1,EM,MBC,196.5
2018,1,EM,SC,190.5
2018,1,EM,SCA,180.25
2018,1,EM,ST,172.75
2018,1,GI,OC,194.0
2018,1,GI,BC,192.75
2018,1,GI,BCM,191.75
2018,1,GI,MBC,190.25
2018,1,GI,SC,180.0
2018,1,GI,SCA,141.0
2018,1,GI,ST,
2018,1,IE,OC,195.25
2018,1,IE,BC,192.5
2018,1,IE,BCM,188.75
2018,1,IE,MBC,190.0
2018,1,IE,SC,179.5
2018,1,IE,SCA,153.25
2018,1,IE,ST,
2018,1,IM,OC,197.25
2018,1,IM,BC,197.0
2018,1,IM,BCM,195.0
2018,1,IM,MBC,195.0
2018,1,IM,SC,185.5
2018,1,IM,SCA,178.5
2018,1,IM,ST,187.75
2018,1,MA,OC,192.75
2018,1,MA,BC,190.25
2018,1,MA,BCM,187.75
2018,1,MA,MBC,188.0
2018,1,MA,SC,174.25
2018,1,MA,SCA,164.75
2018,1,MA,ST,
2018,1,ME,OC,198.0
2018,1,ME,BC,197.25
2018,1,ME,BCM,195.75
2018,1,ME,MBC,196.25
2018,1,ME,SC,192.75
2018,1,ME,SCA,190.0
2018,1,ME,ST,186.75
2018,1,MI,OC,194.0
2018,1,MI,BC,191.75
2018,1,MI,BCM,189.75
2018,1,MI,MBC,191.75
2018,1,MI,SC,182.5
2018,1,MI,SCA,177.0
2018,1,MI,ST,
2018,1,MN,OC,194.0
2018,1,MN,BC,192.25
2018,1,MN,BCM,191.25
2018,1,MN,MBC,191.25
2018,1,MN,SC,184.0
2018,1,MN,SCA,158.5
2018,1,MN,ST,
2018,1,PT,OC,191.75
2018,1,PT,BC,190.0
2018,1,PT,BCM,187.0
2018,1,PT,MBC,187.25
2018,1,PT,SC,172.75
2018,1,PT,SCA,175.0
2018,1,PT,ST,143.25
2018,1,XC,OC,185.5
2018,1,XC,BC,175.75
2018,1,XC,BCM,173.0
2018,1,XC,MBC,173.0
2018,1,XC,SC,157.5
2018,1,XC,SCA,164.25
2018,1,XC,ST,158.5
